Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2023-10-25,1784.98000000,1817.69000000,1760.00000000,1787.15000000,354410.82940000,2023-10-25 23:59:59.999,634289515.56577900,774777,177656.30270000,318020760.74040300,0
2023-10-26,1787.15000000,1865.54000000,1762.21000000,1803.38000000,431169.04530000,2023-10-26 23:59:59.999,781481904.95969700,901019,216166.78560000,391693373.21916700,0
2023-10-27,1803.39000000,1803.91000000,1744.66000000,1779.40000000,274532.69210000,2023-10-27 23:59:59.999,488398895.21753700,594592,137263.46820000,244249949.51807600,0
2023-10-28,1779.41000000,1803.23000000,1770.00000000,1776.20000000,122919.73820000,2023-10-28 23:59:59.999,219588597.64105000,333711,59590.45430000,106460555.45935900,0
2023-10-29,1776.21000000,1811.30000000,1762.66000000,1795.14000000,144110.65080000,2023-10-29 23:59:59.999,258015412.93155400,371024,68282.97790000,122240383.72822500,0
2023-10-30,1795.14000000,1829.84000000,1777.77000000,1809.04000000,277686.19200000,2023-10-30 23:59:59.999,501228029.31760500,560359,134895.64800000,243576319.80932100,0
2023-10-31,1809.03000000,1819.41000000,1780.99000000,1814.67000000,258074.57960000,2023-10-31 23:59:59.999,464695558.99525400,577888,120112.91540000,216284275.88791600,0
2023-11-01,1814.67000000,1857.66000000,1783.19000000,1846.99000000,471921.61840000,2023-11-01 23:59:59.999,858744655.31150800,862416,234932.89940000,427830377.61923100,0
2023-11-02,1846.99000000,1875.00000000,1785.01000000,1800.80000000,368738.21930000,2023-11-02 23:59:59.999,674522153.76558900,790110,185623.84900000,339696387.31557100,0
2023-11-03,1800.79000000,1834.58000000,1777.11000000,1832.71000000,315000.26780000,2023-11-03 23:59:59.999,568244477.51770300,713592,148670.14460000,268213982.30877700,0
2023-11-04,1832.70000000,1869.90000000,1824.03000000,1855.54000000,171538.03640000,2023-11-04 23:59:59.999,315560482.70251600,463794,90964.88280000,167382926.70823700,0
2023-11-05,1855.54000000,1912.67000000,1846.11000000,1891.71000000,383106.76280000,2023-11-05 23:59:59.999,721508408.94399200,780672,194760.18480000,366825053.12650500,0
2023-11-06,1891.71000000,1914.23000000,1868.48000000,1900.95000000,328746.23940000,2023-11-06 23:59:59.999,622198937.15669200,717293,163547.45760000,309583391.10696100,0
2023-11-07,1900.95000000,1906.99000000,1850.32000000,1885.27000000,332419.44060000,2023-11-07 23:59:59.999,625566317.42704500,760921,157050.09940000,295599094.27211800,0
2023-11-08,1885.26000000,1904.69000000,1872.51000000,1888.12000000,247881.09970000,2023-11-08 23:59:59.999,468144576.74145400,514836,125671.61970000,237346429.60485600,0
2023-11-09,1888.11000000,2132.00000000,1882.07000000,2121.32000000,1100330.32370000,2023-11-09 23:59:59.999,2200484378.92985000,1657379,576184.41160000,1151326154.69537700,0
2023-11-10,2121.33000000,2136.99000000,2064.61000000,2077.72000000,555573.64950000,2023-11-10 23:59:59.999,1167220520.82826100,880646,270796.81850000,569032269.47012900,0
2023-11-11,2077.72000000,2089.60000000,2030.30000000,2053.17000000,370966.03720000,2023-11-11 23:59:59.999,763796737.40937500,675522,177075.17870000,364652650.68236400,0
2023-11-12,2053.16000000,2066.50000000,2012.10000000,2044.68000000,281907.55900000,2023-11-12 23:59:59.999,577153459.51571000,556231,142320.70720000,291430126.46568400,0
2023-11-13,2044.69000000,2118.00000000,2028.49000000,2053.65000000,529143.58150000,2023-11-13 23:59:59.999,1093862454.32137400,1025249,261963.73590000,541622293.08972100,0
2023-11-14,2053.65000000,2064.96000000,1936.60000000,1979.39000000,481909.73300000,2023-11-14 23:59:59.999,972032428.32657300,884487,227697.39860000,459505858.16015600,0
2023-11-15,1979.40000000,2062.40000000,1967.01000000,2058.48000000,421870.80320000,2023-11-15 23:59:59.999,847945999.66400000,731745,214270.80550000,430649792.14313200,0
2023-11-16,2058.49000000,2090.40000000,1939.10000000,1961.77000000,545286.12970000,2023-11-16 23:59:59.999,1101174547.30860900,991673,258249.24060000,521815881.91400900,0
2023-11-17,1961.77000000,1991.50000000,1904.00000000,1960.82000000,401100.50690000,2023-11-17 23:59:59.999,783561858.01188900,788071,190084.30410000,371312547.95541200,0
2023-11-18,1960.82000000,1971.22000000,1916.00000000,1962.60000000,279368.22080000,2023-11-18 23:59:59.999,543924395.73302800,535494,125794.98940000,245020429.99701000,0
2023-11-19,1962.59000000,2015.75000000,1942.89000000,2011.47000000,251132.61920000,2023-11-19 23:59:59.999,494600634.89114600,506631,126144.44170000,248644868.45796300,0
2023-11-20,2011.47000000,2066.40000000,1990.00000000,2021.40000000,421717.67900000,2023-11-20 23:59:59.999,854002757.45117200,751621,202758.58950000,410688842.47982300,0
2023-11-21,2021.41000000,2034.60000000,1931.43000000,1933.01000000,490163.98630000,2023-11-21 23:59:59.999,974304142.39717400,888864,228457.66450000,454169629.26029600,0
2023-11-22,1933.01000000,2092.46000000,1928.41000000,2063.21000000,466120.51090000,2023-11-22 23:59:59.999,943776525.65738000,796700,230629.99370000,466898382.31101400,0
2023-11-23,2063.22000000,2088.94000000,2040.35000000,2062.20000000,250960.69580000,2023-11-23 23:59:59.999,517482313.45225600,527877,125214.91690000,258240481.04709900,0
2023-11-24,2062.21000000,2133.02000000,2059.37000000,2080.84000000,426932.54020000,2023-11-24 23:59:59.999,894370772.51811400,672044,209685.71700000,439269617.03678300,0
2023-11-25,2080.84000000,2090.54000000,2065.30000000,2083.09000000,138847.39300000,2023-11-25 23:59:59.999,288887833.97800400,350920,69009.33430000,143596956.95353100,0
2023-11-26,2083.10000000,2094.99000000,2036.42000000,2062.33000000,241262.91360000,2023-11-26 23:59:59.999,499314260.83391500,510922,118774.15090000,245826217.30275600,0
2023-11-27,2062.34000000,2071.24000000,1985.78000000,2027.50000000,326073.22980000,2023-11-27 23:59:59.999,660673302.74006000,622522,159492.23910000,323207766.23646300,0
2023-11-28,2027.50000000,2075.00000000,1995.15000000,2048.14000000,283775.92790000,2023-11-28 23:59:59.999,578404413.95846800,606358,146633.56520000,298858840.66262700,0
2023-11-29,2048.14000000,2075.70000000,2019.31000000,2028.81000000,254843.73190000,2023-11-29 23:59:59.999,521225853.33225000,503614,125984.04410000,257660016.09729500,0
2023-11-30,2028.80000000,2054.75000000,2020.85000000,2051.96000000,243680.09210000,2023-11-30 23:59:59.999,496360388.66638500,458227,123357.98750000,251301504.63400300,0
2023-12-01,2051.95000000,2110.87000000,2045.04000000,2087.24000000,372645.58600000,2023-12-01 23:59:59.999,778670941.03376000,598646,193580.10240000,404463202.52867400,0
2023-12-02,2087.24000000,2186.60000000,2086.25000000,2164.74000000,320979.97680000,2023-12-02 23:59:59.999,684434398.68424500,618401,177507.90650000,378562669.28843400,0
2023-12-03,2164.75000000,2217.27000000,2149.00000000,2192.95000000,257879.11360000,2023-12-03 23:59:59.999,560343820.02850900,556948,135206.30790000,293879684.38655900,0
2023-12-04,2192.96000000,2274.28000000,2191.00000000,2243.37000000,565307.71340000,2023-12-04 23:59:59.999,1263069834.20861200,980117,283090.74670000,632410939.65829000,0
2023-12-05,2243.36000000,2309.72000000,2188.33000000,2293.33000000,529829.72140000,2023-12-05 23:59:59.999,1190597719.19322700,1018557,272102.51620000,611589710.74711000,0
2023-12-06,2293.33000000,2312.23000000,2220.00000000,2232.70000000,408338.90560000,2023-12-06 23:59:59.999,925926168.10934200,842212,201586.64380000,457181711.84181900,0
2023-12-07,2232.70000000,2382.80000000,2222.00000000,2355.73000000,485190.06090000,2023-12-07 23:59:59.999,1115389522.52305300,921917,253392.50300000,582277684.03791300,0
2023-12-08,2355.74000000,2392.00000000,2336.34000000,2358.72000000,378569.81260000,2023-12-08 23:59:59.999,893841920.83732000,713431,188434.41100000,444945340.37882700,0
2023-12-09,2358.71000000,2403.00000000,2328.01000000,2340.49000000,287771.06640000,2023-12-09 23:59:59.999,679437458.93125400,648813,143129.42620000,338059268.85995200,0
