Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore,Average Price,Price Change
2023-11-25,37713.57,37888.0,37591.1,37780.67,11396.14464,2023-11-25 23:59:59.999,430165251.76097490,569448,5153.91116000,194536221.28509410,0,37739.55,67.09999999999854
2023-11-26,37780.67,37814.63,37150.0,37447.43,21264.53723,2023-11-26 23:59:59.999,797321193.58939910,848020,10204.51641000,382571274.04607820,0,37482.315,-333.23999999999796
2023-11-27,37447.42,37569.23,36707.0,37242.7,30001.07376,2023-11-27 23:59:59.999,1112557435.27679220,1238017,14458.63822000,536129095.56684420,0,37138.115000000005,-204.72000000000116
2023-11-28,37242.7,38377.0,36868.41,37818.87,37544.46667,2023-11-28 23:59:59.999,1414360251.68234560,1272779,18168.56198000,684514270.93887170,0,37622.705,576.1700000000055
2023-11-29,37818.88,38450.0,37570.0,37854.64,32994.19107,2023-11-29 23:59:59.999,1252586505.66259010,1131353,15588.96473000,591917955.47439680,0,38010.0,35.76000000000204
2023-11-30,37854.65,38145.85,37500.0,37723.96,24740.29147,2023-11-30 23:59:59.999,934491058.96081410,1007791,11484.45424000,433772722.50456340,0,37822.925,-130.69000000000233
2023-12-01,37723.97,38999.0,37615.86,38682.52,43415.66324,2023-12-01 23:59:59.999,1669750777.62398140,1523417,22408.27301000,861977420.16319520,0,38307.43,958.5499999999956
2023-12-02,38682.51,39717.14,38641.61,39450.35,26696.92161,2023-12-02 23:59:59.999,1043421976.76606520,1034690,13166.65386000,514763687.57460090,0,39179.375,767.8399999999965
2023-12-03,39450.35,40250.0,39274.86,39972.26,26710.65335,2023-12-03 23:59:59.999,1059860641.04944440,1151524,13333.29632000,529259227.16750920,0,39762.43,521.9100000000035
2023-12-04,39972.26,42420.0,39972.26,41991.1,79272.33059,2023-12-04 23:59:59.999,3285736844.14088080,2112219,38595.61905000,1599710862.08717670,0,41196.130000000005,2018.8399999999965
2023-12-05,41991.1,44488.0,41414.0,44073.32,67490.74644,2023-12-05 23:59:59.999,2890205389.49012660,2072700,34815.80813000,1491813847.23896810,0,42951.0,2082.220000000001
2023-12-06,44073.82,44297.21,43335.28,43762.69,51431.10492,2023-12-06 23:59:59.999,2256979505.59480470,1876282,25092.62492000,1101273363.08642960,0,43816.244999999995,-311.1299999999974
2023-12-07,43762.69,44047.33,42821.1,43273.14,47103.26845,2023-12-07 23:59:59.999,2046945851.88364460,1414759,22635.67672000,983629776.49386140,0,43434.215,-489.5500000000029
2023-12-08,43273.15,44700.0,43081.1,44170.99,42900.37556,2023-12-08 23:59:59.999,1875581755.44691050,1311268,20818.67861000,910357262.89407300,0,43890.55,897.8399999999965
2023-12-09,44171.0,44358.02,43584.51,43713.6,24925.97008,2023-12-09 23:59:59.999,1096487106.56483380,987352,11598.00774000,510255993.86808590,0,43971.265,-457.40000000000146
2023-12-10,43713.59,44049.0,43563.0,43789.51,18956.61758,2023-12-10 23:59:59.999,830485162.55695350,830667,8841.90643000,387376075.38248430,0,43806.0,75.92000000000553
2023-12-11,43789.5,43804.5,40222.0,41253.4,76663.89804,2023-12-11 23:59:59.999,3205540835.51143390,2087142,36499.24269000,1525642878.15210340,0,42013.25,-2536.0999999999985
2023-12-12,41253.41,42104.12,40680.0,41492.39,42722.69773,2023-12-12 23:59:59.999,1773961284.33756360,1526411,21394.91158000,888438328.89153460,0,41392.06,238.97999999999593
